id,commodity,source_posted_at,trade_type,chat_id,telegram_user_id,message_text,date_source_posted_at,message_text_clean,message_encoding,message_text_clean_utf8,message_length,message_words,message_lbr,message_encoding2
41538,BTC,2022-01-05 10:10:40+00,buy,79.0,977825.0,"ByBit USDT
#BTC/USDT Entry target 1 ✅
Average Entry Price: 46973.4 💵",2022-01-05 10:10:40+00:00,"bybit usdt
#btc/usdt entry target 1 
average entry price: 46973.4",ascii,"bybit usdt
#btc/usdt entry target 1 
average entry price: 46973.4",65,10,2,ascii
41539,BTC,2022-01-05 11:21:49+00,sell,79.0,977825.0,"ByBit USDT
#BTC/USDT Take-Profit target 1 ✅
Profit: 18.0315% 📈
Period: 1 Hours 42 Minutes ⏰",2022-01-05 11:21:49+00:00,"bybit usdt
#btc/usdt take-profit target 1 
profit: 18.0315% 
period: 1 hours 42 minutes",ascii,"bybit usdt
#btc/usdt take-profit target 1 
profit: 18.0315% 
period: 1 hours 42 minutes",87,13,3,ascii
65280,REEF,2022-09-17 01:04:25+00,buy,101.0,977838.0,"➖➖➖➖➖➖➖➖➖➖
#ALWAYSWIN
REEF/USDT LONG ✳️
Leverage 20x
Entries 0.00516
Target 1 0.00524
Target 2 0.00537
Target 3 0.00555
Target 4 0.00600
Target 5 0.00650

SL 0.00477
➖➖➖➖➖➖➖➖➖➖

- By @Indoleaks -",2022-09-17 01:04:25+00:00,"#alwayswin
reef/usdt long 
leverage 20x
entries 0.00516
target 1 0.00524
target 2 0.00537
target 3 0.00555
target 4 0.00600
target 5 0.00650
sl 0.00477

- by @indoleaks -",ascii,"#alwayswin
reef/usdt long 
leverage 20x
entries 0.00516
target 1 0.00524
target 2 0.00537
target 3 0.00555
target 4 0.00600
target 5 0.00650
sl 0.00477

- by @indoleaks -",170,28,11,ascii
65330,1000XEC,2022-09-17 01:00:02+00,buy,101.0,977838.0,"➖➖➖➖➖➖➖➖➖➖
#ALWAYSWIN
1000XEC/USDT LONG ✳️
Leverage 20x
Entries 0.0424
Target 1 0.0430
Target 2 0.0441
Target 3 0.0456
Target 4 0.0500
Target 5 0.0550

SL 0.0392
➖➖➖➖➖➖➖➖➖➖

- By @Indoleaks -",2022-09-17 01:00:02+00:00,"#alwayswin
1000xec/usdt long 
leverage 20x
entries 0.0424
target 1 0.0430
target 2 0.0441
target 3 0.0456
target 4 0.0500
target 5 0.0550
sl 0.0392

- by @indoleaks -",ascii,"#alwayswin
1000xec/usdt long 
leverage 20x
entries 0.0424
target 1 0.0430
target 2 0.0441
target 3 0.0456
target 4 0.0500
target 5 0.0550
sl 0.0392

- by @indoleaks -",166,28,11,ascii
65329,TRB,2022-09-17 01:04:14+00,buy,101.0,977838.0,"➖➖➖➖➖➖➖➖➖➖
#ALWAYSWIN
TRB/USDT LONG ✳️
Leverage 20x
Entries 16.5
Target 1 16.7
Target 2 17.1
Target 3 17.7
Target 4 18.5
Target 5 19.0

Sl 15.2
➖➖➖➖➖➖➖➖➖➖

- By @Indoleaks -",2022-09-17 01:04:14+00:00,"#alwayswin
trb/usdt long 
leverage 20x
entries 16.5
target 1 16.7
target 2 17.1
target 3 17.7
target 4 18.5
target 5 19.0
sl 15.2

- by @indoleaks -",ascii,"#alwayswin
trb/usdt long 
leverage 20x
entries 16.5
target 1 16.7
target 2 17.1
target 3 17.7
target 4 18.5
target 5 19.0
sl 15.2

- by @indoleaks -",148,28,11,ascii
65324,,2022-09-17 14:04:33+00,sell,101.0,977838.0,"➖➖➖➖➖➖➖➖➖➖
#ALWAYSWIN
Take profit 3
100% profits done
➖➖➖➖➖➖➖➖➖➖

- By @Indoleaks -",2022-09-17 14:04:33+00:00,"#alwayswin
take profit 3
100% profits done

- by @indoleaks -",ascii,"#alwayswin
take profit 3
100% profits done

- by @indoleaks -",61,11,4,ascii
28937,BTC,2022-09-21 14:18:07+00,sell,169.0,977866.0,"ByBit USDT
#BTC/USDT All take-profit targets achieved 😎
Profit: 93.7186% 📈
Period: 4 Hours 42 Minutes ⏰",2022-09-21 14:18:07+00:00,"bybit usdt
#btc/usdt all take-profit targets achieved 
profit: 93.7186% 
period: 4 hours 42 minutes",ascii,"bybit usdt
#btc/usdt all take-profit targets achieved 
profit: 93.7186% 
period: 4 hours 42 minutes",99,14,3,ascii
28761,GRT,2022-09-21 17:37:52+00,sell,169.0,977866.0,"ByBit USDT
#GRT/USDT Take-Profit target 2 ✅
Profit: 15.3531% 📈
Period: 5 Hours 46 Minutes ⏰",2022-09-21 17:37:52+00:00,"bybit usdt
#grt/usdt take-profit target 2 
profit: 15.3531% 
period: 5 hours 46 minutes",ascii,"bybit usdt
#grt/usdt take-profit target 2 
profit: 15.3531% 
period: 5 hours 46 minutes",87,13,3,ascii
28508,MANA,2022-09-21 21:16:39+00,sell,169.0,977866.0,"ByBit USDT
#MANA/USDT Closed at stoploss after reaching take profit ⚠",2022-09-21 21:16:39+00:00,"bybit usdt
#mana/usdt closed at stoploss after reaching take profit",ascii,"bybit usdt
#mana/usdt closed at stoploss after reaching take profit",67,10,1,ascii
42343,HNT,2022-09-20 17:25:58+00,buy,173.0,977901.0,"#HNT/USDT
Signal Type: Short
Leverage: Cross 20x
Entry Targets: 5.22   5.5
Take-Profit Targets: 
1) 5.1900
2) 5.1600
3) 5.1300
4) 5.0800
5) 5.0100
6) 4.9500
7) 4.8500
8) 4.7000
 
Stop-Loss: 5.7",2022-09-20 17:25:58+00:00,"#hnt/usdt
signal type: short
leverage: cross 20x
entry targets: 5.22   5.5
take-profit targets:
1) 5.1900
2) 5.1600
3) 5.1300
4) 5.0800
5) 5.0100
6) 4.9500
7) 4.8500
8) 4.7000
stop-loss: 5.7",ascii,"#hnt/usdt
signal type: short
leverage: cross 20x
entry targets: 5.22   5.5
take-profit targets:
1) 5.1900
2) 5.1600
3) 5.1300
4) 5.0800
5) 5.0100
6) 4.9500
7) 4.8500
8) 4.7000
stop-loss: 5.7",190,31,13,ascii
